date,temperature,humidity,luminosity
2022-11-17 15:48:04.964,25.1,34.6,691
2022-11-17 15:47:59.921,25.1,34.5,691
2022-11-17 15:47:54.877,25.0,34.5,689
2022-11-17 15:47:49.834,25.0,34.4,689
2022-11-17 15:47:44.790,25.1,34.4,687
2022-11-17 15:47:39.747,25.1,34.4,689
2022-11-17 15:47:34.704,25.1,34.4,688
2022-11-17 15:47:29.661,25.1,34.4,677
2022-11-17 15:47:24.618,25.1,34.3,693
2022-11-17 15:47:19.574,25.1,34.4,686
2022-11-17 15:47:14.530,25.2,34.6,687
2022-11-17 15:47:09.487,25.1,34.6,694
2022-11-17 15:47:04.443,25.2,34.7,693
2022-11-17 15:46:59.400,25.1,34.7,694
2022-11-17 15:46:54.357,25.1,34.8,557
2022-11-17 15:46:49.314,25.2,34.9,551
2022-11-17 15:46:44.270,25.2,35.0,551
2022-11-17 15:46:39.226,25.2,35.0,556
2022-11-17 15:46:34.182,25.1,34.5,100
2022-11-17 15:46:29.139,25.1,34.5,502
2022-11-17 15:46:24.095,25.1,34.5,499
2022-11-17 15:46:19.051,25.1,34.5,507
2022-11-17 15:46:14.007,25.1,34.5,497
2022-11-17 15:46:08.964,25.1,34.5,501
2022-11-17 15:46:03.920,25.1,34.6,504
2022-11-17 15:45:58.877,25.2,34.6,504
2022-11-17 15:45:53.834,25.1,34.6,502
2022-11-17 15:45:48.792,25.1,34.7,495
2022-11-17 15:45:43.748,25.1,34.8,502
2022-11-17 15:45:38.705,25.2,34.8,505
2022-11-17 15:45:33.663,25.1,34.7,507
2022-11-17 15:45:28.620,25.1,34.6,507
2022-11-17 15:45:23.577,25.1,34.7,505
2022-11-17 15:45:18.534,25.1,34.7,503
2022-11-17 15:45:13.491,25.1,34.6,500
2022-11-17 15:45:08.447,25.2,34.6,502
2022-11-17 15:45:03.403,25.1,34.6,501
2022-11-17 15:44:58.360,25.1,34.6,500
2022-11-17 15:44:53.316,25.1,34.5,497
2022-11-17 15:44:48.273,25.1,34.5,500
2022-11-17 15:44:43.229,25.1,34.6,498
2022-11-17 15:44:38.185,25.2,34.7,499
2022-11-17 15:44:33.142,25.1,34.6,500
2022-11-17 15:44:28.098,25.2,34.7,504
2022-11-17 15:44:23.055,25.2,34.7,505
2022-11-17 15:44:18.011,25.2,34.6,505
2022-11-17 15:44:12.968,25.2,34.5,505
2022-11-17 15:44:07.925,25.2,34.4,507
2022-11-17 15:44:02.882,25.2,34.4,505
2022-11-17 15:43:57.838,25.2,34.3,505
2022-11-17 15:43:52.794,25.2,34.6,504
2022-11-17 15:43:47.750,25.2,34.5,499
2022-11-17 15:43:42.707,25.2,34.5,303
2022-11-17 15:43:37.664,25.2,34.4,305
2022-11-17 15:43:32.621,25.2,34.3,378
2022-11-17 15:43:27.577,25.2,34.2,443
2022-11-17 15:43:22.534,25.2,34.2,437
2022-11-17 15:43:17.489,25.2,34.2,501
2022-11-17 15:43:12.447,25.2,34.3,502
2022-11-17 15:43:07.404,25.3,34.2,506
2022-11-17 15:43:02.360,25.2,34.3,507
2022-11-17 15:42:57.317,25.2,34.3,506
2022-11-17 15:42:52.273,25.2,34.6,506
2022-11-17 15:42:47.230,25.2,34.7,507
2022-11-17 15:42:42.187,25.3,34.7,507
2022-11-17 15:42:37.144,25.3,34.7,507
2022-11-17 15:41:32.849,25.4,34.3,502
2022-11-17 15:41:27.806,25.4,34.2,313
2022-11-17 15:41:22.763,25.4,34.2,291
2022-11-17 15:41:17.720,25.4,34.3,145
2022-11-17 15:41:12.677,25.4,34.2,102
2022-11-17 15:41:07.634,25.4,34.0,115
2022-11-17 15:41:02.591,25.5,33.9,53
2022-11-17 15:40:57.546,25.5,34.0,189
2022-11-17 15:40:52.502,25.5,34.1,504
2022-11-17 15:40:47.459,25.5,34.0,509
2022-11-17 15:40:42.415,25.5,34.0,512
2022-11-17 15:40:37.372,25.6,33.9,509
2022-11-17 15:40:32.328,25.5,33.9,507
2022-11-17 15:40:27.284,25.6,33.9,512
2022-11-17 15:40:22.241,25.6,33.8,512
2022-11-17 15:40:17.197,25.6,33.8,516
2022-11-17 15:40:12.153,25.6,34.0,512
