date,temperature,humidity,luminosity
2022-11-10 15:32:10.179,22.6,34.5,551
2022-11-10 15:32:09.179,22.6,34.5,551
2022-11-10 15:32:07.902,22.5,34.5,551
2022-11-10 15:32:06.901,22.5,34.5,531
2022-11-10 15:32:05.624,22.5,34.4,544
2022-11-10 15:32:04.625,22.5,34.4,551
2022-11-10 15:32:03.351,22.5,34.4,537
2022-11-10 15:32:02.347,22.5,34.4,544
2022-11-10 15:32:01.073,22.6,34.5,551
2022-11-10 15:32:00.070,22.6,34.5,558
2022-11-10 15:31:58.796,22.5,34.3,558
2022-11-10 15:31:57.793,22.5,34.3,544
2022-11-10 15:31:56.518,22.6,34.4,551
2022-11-10 15:31:55.515,22.6,34.4,551
2022-11-10 15:31:54.241,22.5,34.3,551
2022-11-10 15:31:53.242,22.5,34.3,558
2022-11-10 15:31:51.964,22.5,34.3,544
2022-11-10 15:31:50.965,22.5,34.3,531
2022-11-10 15:31:49.687,22.6,34.4,558
2022-11-10 15:31:48.688,22.6,34.4,544
2022-11-10 15:31:47.409,22.6,34.4,551
2022-11-10 15:31:46.410,22.6,34.4,544
2022-11-10 15:31:45.136,22.6,34.4,551
2022-11-10 15:31:44.133,22.6,34.4,551
2022-11-10 15:31:42.859,22.6,34.4,544
2022-11-10 15:31:41.856,22.6,34.4,558
2022-11-10 15:31:40.581,22.6,34.4,558
2022-11-10 15:31:39.578,22.6,34.4,544
2022-11-10 15:31:38.304,22.6,34.4,537
2022-11-10 15:31:37.305,22.6,34.4,544
2022-11-10 15:31:36.026,22.6,34.4,524
2022-11-10 15:31:35.028,22.6,34.4,551
2022-11-10 15:31:33.749,22.6,34.4,537
2022-11-10 15:31:32.750,22.6,34.4,524
2022-11-10 15:31:31.472,22.6,34.4,544
2022-11-10 15:31:30.473,22.6,34.4,524
2022-11-10 15:31:29.198,22.6,34.4,537
2022-11-10 15:31:28.196,22.6,34.4,544
2022-11-10 15:31:26.921,22.6,34.4,518
2022-11-10 15:31:25.918,22.6,34.4,544
2022-11-10 15:31:24.643,22.6,34.4,551
2022-11-10 15:31:23.640,22.6,34.4,537
2022-11-10 15:31:22.368,22.6,34.4,531
2022-11-10 15:31:21.364,22.6,34.4,537
2022-11-10 15:31:20.089,22.6,34.4,531
2022-11-10 15:31:19.089,22.6,34.4,544
2022-11-10 15:31:17.812,22.6,34.4,544
2022-11-10 15:31:16.813,22.6,34.4,531
2022-11-10 15:31:15.535,22.6,34.4,537
2022-11-10 15:31:14.536,22.6,34.4,537
2022-11-10 15:31:13.258,22.6,34.4,537
2022-11-10 15:31:12.258,22.6,34.4,558
2022-11-10 15:31:10.984,22.6,34.4,537
2022-11-10 15:31:09.981,22.6,34.4,551
2022-11-10 15:31:08.707,22.6,34.4,544
2022-11-10 15:31:07.703,22.6,34.4,537
2022-11-10 15:31:06.430,22.6,34.4,566
2022-11-10 15:31:05.426,22.6,34.4,551
2022-11-10 15:31:04.153,22.6,34.4,551
2022-11-10 15:31:03.153,22.6,34.4,573
2022-11-10 15:31:01.874,22.6,34.4,566
2022-11-10 15:31:00.876,22.6,34.4,566
2022-11-10 15:30:59.598,22.6,34.4,573
2022-11-10 15:30:58.597,22.6,34.4,558
2022-11-10 15:30:57.320,22.6,34.3,566
2022-11-10 15:30:56.321,22.6,34.3,566
2022-11-10 15:30:55.046,22.6,34.3,566
2022-11-10 15:30:54.043,22.6,34.3,566
2022-11-10 15:30:52.770,22.6,34.3,558
2022-11-10 15:30:51.767,22.6,34.3,551
2022-11-10 15:30:50.492,22.6,34.3,566
2022-11-10 15:30:49.489,22.6,34.3,566
2022-11-10 15:30:48.215,22.6,34.3,531
2022-11-10 15:30:47.216,22.6,34.3,558
2022-11-10 15:30:45.938,22.6,34.3,573
2022-11-10 15:30:44.938,22.6,34.3,551
2022-11-10 15:30:43.661,22.6,34.4,573
2022-11-10 15:30:42.661,22.6,34.4,573
2022-11-10 15:30:41.383,22.6,34.4,566
2022-11-10 15:30:40.384,22.6,34.4,573
2022-11-10 15:30:39.106,22.6,34.4,581
2022-11-10 15:30:38.106,22.6,34.4,573
2022-11-10 15:30:36.832,22.6,34.4,566
2022-11-10 15:30:35.829,22.6,34.4,558
2022-11-10 15:30:34.554,22.6,34.4,544
2022-11-10 15:30:33.552,22.6,34.4,544
2022-11-10 15:30:32.278,22.6,34.4,544
2022-11-10 15:30:31.274,22.6,34.4,518
2022-11-10 15:30:30.000,22.6,34.4,505
2022-11-10 15:30:29.001,22.6,34.4,488
2022-11-10 15:30:27.722,22.6,34.3,537
2022-11-10 15:30:26.723,22.6,34.3,544
2022-11-10 15:30:25.446,22.6,34.4,531
2022-11-10 15:30:24.447,22.6,34.4,531
2022-11-10 15:30:23.169,22.6,34.3,551
2022-11-10 15:30:22.169,22.6,34.3,551
2022-11-10 15:30:20.895,22.6,34.3,544
2022-11-10 15:30:19.892,22.6,34.3,551
2022-11-10 15:30:18.618,22.6,34.3,488
2022-11-10 15:30:17.614,22.6,34.3,488
